NiN 2 kode;FP;SP;TKode;HTGKode;HTKode;GTKode
T25-2;1;4;C-PE-NA;NA-T;T-G-01;T-G-01-46
T25-1;2;4;C-PE-NA;NA-T;T-G-01;T-G-01-47
T25-1;1;4;C-PE-NA;NA-T;T-G-01;T-G-01-48
T25-1;1;4;C-PE-NA;NA-T;T-G-01;T-G-01-49
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-50
ny;-;;C-PE-NA;NA-T;T-G-01;T-G-01-51
T31;3;3;C-PE-NA;NA-T;T-H-01;T-H-01-0
T31-1;4;4;C-PE-NA;NA-T;T-H-01;T-H-01-01
T31-4;4;2;C-PE-NA;NA-T;T-H-01;T-H-01-02
T31-10;4;2;C-PE-NA;NA-T;T-H-01;T-H-01-03
T31-2;4;3;C-PE-NA;NA-T;T-H-01;T-H-01-04
T31-5;3;2;C-PE-NA;NA-T;T-H-01;T-H-01-05
T31-11;3;2;C-PE-NA;NA-T;T-H-01;T-H-01-06
T31-3;4;4;C-PE-NA;NA-T;T-H-01;T-H-01-07
T31-6;4;2;C-PE-NA;NA-T;T-H-01;T-H-01-08
T31-12;4;2;C-PE-NA;NA-T;T-H-01;T-H-01-09
T31-13;4;2;C-PE-NA;NA-T;T-H-01;T-H-01-10
T31-14;2;4;C-PE-NA;NA-T;T-H-01;T-H-01-11
T31-2;1;4;C-PE-NA;NA-T;T-H-01;T-H-01-12
T31-5;1;3;C-PE-NA;NA-T;T-H-01;T-H-01-13
T31-11;1;3;C-PE-NA;NA-T;T-H-01;T-H-01-14
T4, T38;4;3;C-PE-NA;NA-T;T-I-01;T-I-01-0
T4-1,2,5,6,T38-1;1;4;C-PE-NA;NA-T;T-I-01;T-I-01-01
T4-3,4,7,8, T38-1;1;4;C-PE-NA;NA-T;T-I-01;T-I-01-02
T4-9,10,13,14;0;4;C-PE-NA;NA-T;T-I-01;T-I-01-03
T4-11,12,15,16;0;4;C-PE-NA;NA-T;T-I-01;T-I-01-04
T4-1,2,5,6,T38-1;1;4;C-PE-NA;NA-T;T-I-01;T-I-01-05
T4-3,4,7,8, T38-1;1;4;C-PE-NA;NA-T;T-I-01;T-I-01-06
T4-9,10,13,14;0;4;C-PE-NA;NA-T;T-I-01;T-I-01-07
T4-11,12,15,16;0;4;C-PE-NA;NA-T;T-I-01;T-I-01-08
T4-17;0;4;C-PE-NA;NA-T;T-I-01;T-I-01-09
T4-18;0;4;C-PE-NA;NA-T;T-I-01;T-I-01-10
T32;4;4;C-PE-NA;NA-T;T-K-01;T-K-01-0
T32-1;2;2;C-PE-NA;NA-T;T-K-01;T-K-01-01
T32-3,6;2;3;C-PE-NA;NA-T;T-K-01;T-K-01-02
T32,6,9;2;3;C-PE-NA;NA-T;T-K-01;T-K-01-03
T32-13;2;2;C-PE-NA;NA-T;T-K-01;T-K-01-04
T32-15,17;2;3;C-PE-NA;NA-T;T-K-01;T-K-01-05
T32-17,19;2;3;C-PE-NA;NA-T;T-K-01;T-K-01-06
T32-1;1;2;C-PE-NA;NA-T;T-K-01;T-K-01-07
T32-3,6;1;3;C-PE-NA;NA-T;T-K-01;T-K-01-08
T32,6,9;1;3;C-PE-NA;NA-T;T-K-01;T-K-01-09
T32-13;1;2;C-PE-NA;NA-T;T-K-01;T-K-01-10
T32-15,17;1;3;C-PE-NA;NA-T;T-K-01;T-K-01-11
T32-17,19;1;3;C-PE-NA;NA-T;T-K-01;T-K-01-12
T32-1,2;1;3;C-PE-NA;NA-T;T-K-01;T-K-01-13
T32-3,4,6,7;1;3;C-PE-NA;NA-T;T-K-01;T-K-01-14
T32,6,7,9,10;1;3;C-PE-NA;NA-T;T-K-01;T-K-01-15
T32-13,14;1;3;C-PE-NA;NA-T;T-K-01;T-K-01-16
T32-15,16,17,18;1;3;C-PE-NA;NA-T;T-K-01;T-K-01-17
T32-17,18,19,20;1;3;C-PE-NA;NA-T;T-K-01;T-K-01-18
T32-2;3;3;C-PE-NA;NA-T;T-K-01;T-K-01-19
T32-4,5,7,8;1;3;C-PE-NA;NA-T;T-K-01;T-K-01-20
T32-7,8,10;1;3;C-PE-NA;NA-T;T-K-01;T-K-01-21
T32-14;3;3;C-PE-NA;NA-T;T-K-01;T-K-01-22
T32-16,18;1;3;C-PE-NA;NA-T;T-K-01;T-K-01-23
T32,18,20;1;3;C-PE-NA;NA-T;T-K-01;T-K-01-24
T32-11,12;1;4;C-PE-NA;NA-T;T-K-01;T-K-01-25
T32-11,12;2;4;C-PE-NA;NA-T;T-K-01;T-K-01-26
T32-21;4;4;C-PE-NA;NA-T;T-K-01;T-K-01-27
T33;4;4;C-PE-NA;NA-T;T-K-02;T-K-02-0
T33-1;3;4;C-PE-NA;NA-T;T-K-02;T-K-02-01
T33-2;3;4;C-PE-NA;NA-T;T-K-02;T-K-02-02
T33-1,2;0;4;C-PE-NA;NA-T;T-K-02;T-K-02-03
T34;4;4;C-PE-NA;NA-T;T-K-03;T-K-03-0
T34-1;4;4;C-PE-NA;NA-T;T-K-03;T-K-03-01
T34-4;4;4;C-PE-NA;NA-T;T-K-03;T-K-03-02
T34-2,3;4;4;C-PE-NA;NA-T;T-K-03;T-K-03-03
T34-5,6;2;4;C-PE-NA;NA-T;T-K-03;T-K-03-04
T34-7,8,9,10;4;2;C-PE-NA;NA-T;T-K-03;T-K-03-05
T34-11;4;4;C-PE-NA;NA-T;T-K-03;T-K-03-06
T34-12;4;4;C-PE-NA;NA-T;T-K-03;T-K-03-07
ny;-;;C-PE-NA;NA-T;T-K-03;T-K-03-08
ny;-;;C-PE-NA;NA-T;T-L-01;T-L-01-0
ny;-;;C-PE-NA;NA-T;T-L-01;T-L-01-01
ny;-;;C-PE-NA;NA-T;T-L-01;T-L-01-02
ny;-;;C-PE-NA;NA-T;T-L-01;T-L-01-03
ny;-;;C-PE-NA;NA-T;T-L-01;T-L-01-04
ny;-;;C-PE-NA;NA-T;T-L-01;T-L-01-05
ny;-;;C-PE-NA;NA-T;T-L-01;T-L-01-06
ny;-;;C-PE-NA;NA-T;T-L-01;T-L-01-07
ny;-;;C-PE-NA;NA-T;T-L-01;T-L-01-08
T39-1,2,3,4,7,8;4;4;C-PE-NA;NA-T;T-M-01;T-M-01-0
T39-1,2,3,4;4;4;C-PE-NA;NA-T;T-M-01;T-M-01-01
ny;-;;C-PE-NA;NA-T;T-M-01;T-M-01-02
T39-7,8;4;4;C-PE-NA;NA-T;T-M-01;T-M-01-03
T39-5,6;4;4;C-PE-NA;NA-T;T-M-02;T-M-02-0
T39-5,6;2;4;C-PE-NA;NA-T;T-M-02;T-M-02-01
T39-5,6;1;4;C-PE-NA;NA-T;T-M-02;T-M-02-02
T35, T37;3;4;C-PE-NA;NA-T;T-M-03;T-M-03-0
T35-1;4;4;C-PE-NA;NA-T;T-M-03;T-M-03-01
T35-4;4;4;C-PE-NA;NA-T;T-M-03;T-M-03-02
